event.id,visible,timestamp,location.long,location.lat,algorithm.marked.outlier,gps:hdop,manually.marked.outlier,sensor.type,individual.taxon.canonical.name,tag.local.identifier,individual.local.identifier,study.name
37385141815,true,2024.10.04 05:28:00.000,76.6392,11.57384,,2.53,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141817,true,2024.10.04 05:33:00.000,76.63913,11.57377,,1.1,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141818,true,2024.10.04 05:38:00.000,76.63924,11.57401,,1.78,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141819,true,2024.10.04 05:43:00.000,76.63947,11.57394,,1.91,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141820,true,2024.10.04 05:49:00.000,76.63945,11.57395,,5.38,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141821,true,2024.10.04 05:53:00.000,76.63944,11.57373,,2.19,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141822,true,2024.10.04 05:58:00.000,76.6394,11.57387,,0.73,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141823,true,2024.10.04 06:03:00.000,76.63933,11.574,,2.49,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141824,true,2024.10.04 06:08:00.000,76.63928,11.57421,,2.58,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141825,true,2024.10.04 06:13:00.000,76.63934,11.57391,,1.4,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141826,true,2024.10.04 06:18:00.000,76.63936,11.57408,,1.38,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141827,true,2024.10.04 06:23:00.000,76.63938,11.57387,,2.51,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141828,true,2024.10.04 06:28:00.000,76.63936,11.57403,,2.69,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141830,true,2024.10.04 06:33:00.000,76.63941,11.57402,,1.67,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141831,true,2024.10.04 06:37:00.000,76.63949,11.57401,,1.68,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141832,true,2024.10.04 06:43:00.000,76.63918,11.57385,,2.1,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141833,true,2024.10.04 06:48:00.000,76.63948,11.57383,,2.17,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141834,true,2024.10.04 06:52:00.000,76.63959,11.57418,,1.76,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141835,true,2024.10.04 06:57:00.000,76.63966,11.57447,,2.31,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141836,true,2024.10.04 07:02:00.000,76.6396,11.57396,,1.15,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141837,true,2024.10.04 07:07:00.000,76.63953,11.57399,,1.67,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141838,true,2024.10.04 07:12:00.000,76.63972,11.57451,,1.14,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141839,true,2024.10.04 07:17:00.000,76.6395,11.57405,,1.4,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141840,true,2024.10.04 07:22:00.000,76.63937,11.574,,1.03,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141841,true,2024.10.04 07:27:00.000,76.63936,11.57411,,0.94,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141842,true,2024.10.04 07:32:00.000,76.63943,11.57405,,0.94,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141844,true,2024.10.04 07:37:00.000,76.6394,11.57404,,1.23,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141845,true,2024.10.04 07:42:00.000,76.63942,11.57402,,1.55,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141846,true,2024.10.04 07:47:00.000,76.63942,11.57409,,0.87,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141847,true,2024.10.04 07:52:00.000,76.63956,11.57427,,1.72,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141848,true,2024.10.04 07:58:00.000,76.63923,11.57402,,2.06,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141849,true,2024.10.04 08:02:00.000,76.63937,11.57399,,2.16,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141850,true,2024.10.04 08:07:00.000,76.63934,11.57409,,2.04,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141851,true,2024.10.04 08:12:00.000,76.63943,11.57419,,1.86,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141853,true,2024.10.04 08:22:00.000,76.63936,11.57369,,1.43,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141854,true,2024.10.04 08:27:00.000,76.63957,11.57388,,1.01,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141855,true,2024.10.04 08:32:00.000,76.63956,11.57377,,1.07,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141857,true,2024.10.04 08:37:00.000,76.63976,11.57381,,1.44,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141858,true,2024.10.04 08:42:00.000,76.63956,11.57436,,1.17,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141859,true,2024.10.04 08:47:00.000,76.63949,11.57399,,1.35,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141860,true,2024.10.04 08:52:00.000,76.63952,11.57405,,4.44,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141861,true,2024.10.04 08:57:00.000,76.63955,11.57399,,1.48,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141862,true,2024.10.04 09:02:00.000,76.63956,11.57411,,2.23,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141863,true,2024.10.04 09:07:00.000,76.63945,11.57391,,2.34,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141864,true,2024.10.04 09:12:00.000,76.63958,11.57404,,1.36,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141865,true,2024.10.04 09:17:00.000,76.63962,11.57398,,1.12,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141866,true,2024.10.04 09:21:00.000,76.64059,11.575,,3.08,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141867,true,2024.10.04 09:27:00.000,76.63946,11.57394,,1.4,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141868,true,2024.10.04 09:32:00.000,76.63963,11.57399,,1.3,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141870,true,2024.10.04 09:37:00.000,76.63972,11.57389,,1.61,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141871,true,2024.10.04 09:42:00.000,76.63982,11.57368,,4.2,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141872,true,2024.10.04 09:47:00.000,76.63979,11.57435,,2.24,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141873,true,2024.10.04 09:51:00.000,76.63983,11.57438,,1.21,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141875,true,2024.10.04 09:56:00.000,76.63916,11.57387,,1.71,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141877,true,2024.10.04 10:01:00.000,76.63918,11.57385,,2.05,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141879,true,2024.10.04 10:06:00.000,76.64089,11.57292,,1.21,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141881,true,2024.10.04 10:11:00.000,76.63998,11.57431,,1.73,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141883,true,2024.10.04 10:16:00.000,76.63954,11.57395,,1.08,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141885,true,2024.10.04 10:21:00.000,76.63928,11.57407,,0.84,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141887,true,2024.10.04 10:26:00.000,76.63934,11.5739,,1.66,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141889,true,2024.10.04 10:32:00.000,76.63964,11.57416,,1.36,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141892,true,2024.10.04 10:36:00.000,76.63957,11.57429,,1.26,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141894,true,2024.10.04 10:41:00.000,76.63921,11.5741,,1.08,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141896,true,2024.10.04 10:46:00.000,76.63934,11.57371,,1.32,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141898,true,2024.10.04 10:51:00.000,76.63946,11.57353,,1.17,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141900,true,2024.10.04 10:57:00.000,76.63935,11.57358,,1.37,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141902,true,2024.10.04 11:02:00.000,76.63861,11.57347,,1.67,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141904,true,2024.10.04 11:07:00.000,76.63917,11.57315,,1.34,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141906,true,2024.10.04 11:12:00.000,76.63933,11.57403,,1.08,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141908,true,2024.10.04 11:17:00.000,76.63922,11.57412,,1.22,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141910,true,2024.10.04 11:22:00.000,76.63931,11.5739,,1.31,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141923,true,2024.10.04 12:07:00.000,76.63955,11.5738,,2.74,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141926,true,2024.10.04 12:12:00.000,76.63937,11.57408,,1.06,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141929,true,2024.10.04 12:17:00.000,76.63917,11.57423,,2.09,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141932,true,2024.10.04 12:21:00.000,76.6394,11.57409,,1.17,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385142157,true,2024.10.05 09:54:00.000,76.63977,11.57376,,1.0,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385142159,true,2024.10.05 09:59:00.000,76.63931,11.57382,,2.57,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385142161,true,2024.10.05 10:04:00.000,76.63942,11.57398,,1.11,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385142163,true,2024.10.05 10:09:00.000,76.63941,11.57413,,3.52,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
